Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
832	P06	105.864		21.31	1	 1.41724	 2.19591	 2.83151	 0.270010	 45.0	-0.707134	 0.0715337	0.868
833	P06	106.864		21.43	1	 1.42730	 2.19288	 2.82271	 0.269115	 45.2	-0.697707	 0.0678710	0.899
834	P06	107.864		21.49	1	 1.43879	 2.18963	 2.81303	 0.268623	 45.3	-0.687123	 0.0637213	0.933
835	P06	108.106	HpmsE078_Q2	21.50	1	 1.44175	 2.18883	 2.81057	 0.268561	 45.3	-0.684408	 0.0626665	0.941
836	P06	109.106		21.49	1	 1.41974	 2.19157	 2.82149	 0.268634	 45.3	-0.700875	 0.0709497	0.904
837	P06	110.106		21.39	1	 1.39836	 2.19507	 2.82991	 0.269356	 45.2	-0.715775	 0.0809383	0.871
838	P06	111.106		21.21	1	 1.37770	 2.19958	 2.83525	 0.270788	 44.9	-0.728775	 0.0931010	0.842
839	P06	112.106		20.92	1	 1.35781	 2.20534	 2.83695	 0.272976	 44.4	-0.739569	 0.107961	0.816
840	P06	113.106		20.53	1	 1.33866	 2.21265	 2.83450	 0.275940	 43.8	-0.747918	 0.126068	0.794
841	P06	114.106		20.06	1	 1.32013	 2.22175	 2.82748	 0.279667	 43.1	-0.753674	 0.147949	0.776
842	P06	115.106		19.50	1	 1.30202	 2.23289	 2.81565	 0.284105	 42.2	-0.756818	 0.174058	0.762
843	P06	116.106		18.87	1	 1.28403	 2.24623	 2.79900	 0.289158	 41.1	-0.757486	 0.204710	0.751
844	P06	117.106		18.19	1	 1.26582	 2.26183	 2.77779	 0.294686	 40.0	-0.755982	 0.240022	0.744
845	P06	118.106		17.50	1	 1.24700	 2.27963	 2.75254	 0.300515	 38.8	-0.752774	 0.279858	0.741
846	P06	119.106		16.80	1	 1.22719	 2.29944	 2.72411	 0.306444	 37.6	-0.748461	 0.323794	0.741
847	P06	120.106		16.13	1	 1.20608	 2.32092	 2.69354	 0.312261	 36.4	-0.743727	 0.371110	0.745
848	P06	121.106		15.51	1	 1.18352	 2.34359	 2.66205	 0.317769	 35.3	-0.739265	 0.420805	0.753
849	P06	122.106		14.95	1	 1.15953	 2.36686	 2.63092	 0.322801	 34.3	-0.735699	 0.471632	0.764
850	P06	123.106		14.46	1	 1.13438	 2.39004	 2.60138	 0.327240	 33.4	-0.733500	 0.522160	0.779
851	P06	123.678	HpmsAT2-20	14.22	1	 1.11967	 2.40297	 2.58560	 0.329489	 32.9	-0.732966	 0.550335	0.790
852	P06	124.678		14.31	1	 1.12914	 2.37783	 2.61778	 0.328690	 33.1	-0.744318	 0.504374	0.752
853	P06	125.678		14.39	1	 1.14352	 2.35133	 2.64607	 0.327897	 33.2	-0.751277	 0.456530	0.730
854	P06	126.678		14.43	1	 1.15885	 2.32853	 2.66473	 0.327549	 33.3	-0.752940	 0.416742	0.723
855	P06	127.678		14.37	1	 1.17097	 2.31391	 2.67015	 0.328136	 33.2	-0.749590	 0.393353	0.731
856	P06	128.678		14.17	1	 1.17781	 2.30887	 2.66308	 0.329922	 32.8	-0.742632	 0.388429	0.755
857	P06	129.090	P17M32-227	14.06	1	 1.17918	 2.30921	 2.65742	 0.331002	 32.6	-0.739118	 0.390908	0.769
858	P06	130.090		13.60	1	 1.18658	 2.30426	 2.66010	 0.335220	 31.8	-0.736763	 0.380922	0.745
859	P06	131.090		13.13	1	 1.19662	 2.29878	 2.66166	 0.339751	 30.8	-0.732520	 0.369642	0.723
860	P06	132.090		12.62	1	 1.20909	 2.29301	 2.66188	 0.344582	 29.8	-0.726394	 0.357529	0.705
861	P06	133.090		12.10	1	 1.22367	 2.28723	 2.66050	 0.349703	 28.8	-0.718415	 0.345145	0.689
862	P06	134.090		11.55	1	 1.24000	 2.28176	 2.65728	 0.355094	 27.7	-0.708639	 0.333115	0.676
863	P06	135.090		10.99	1	 1.25769	 2.27690	 2.65196	 0.360732	 26.6	-0.697138	 0.322074	0.666
864	P06	136.090		10.42	1	 1.27634	 2.27294	 2.64434	 0.366589	 25.4	-0.684002	 0.312601	0.659
865	P06	137.090		9.84	1	 1.29562	 2.27009	 2.63428	 0.372627	 24.1	-0.669333	 0.305136	0.654
866	P06	138.090		9.25	1	 1.31529	 2.26845	 2.62177	 0.378802	 22.9	-0.653237	 0.299918	0.652
867	P06	139.090		8.67	1	 1.33523	 2.26800	 2.60689	 0.385061	 21.6	-0.635830	 0.296940	0.653
868	P06	140.090		8.09	1	 1.35542	 2.26861	 2.58988	 0.391348	 20.3	-0.617231	 0.295952	0.656
869	P06	141.090		7.53	1	 1.37595	 2.27001	 2.57108	 0.397605	 19.1	-0.597568	 0.296496	0.663
870	P06	142.090		6.98	1	 1.39695	 2.27191	 2.55091	 0.403773	 17.8	-0.576977	 0.297980	0.672
871	P06	143.090		6.45	1	 1.41860	 2.27397	 2.52981	 0.409800	 16.6	-0.555603	 0.299765	0.683
872	P06	144.090		5.95	1	 1.44102	 2.27587	 2.50823	 0.415640	 15.4	-0.533601	 0.301250	0.698
873	P06	145.090		5.47	1	 1.46431	 2.27737	 2.48657	 0.421254	 14.2	-0.511131	 0.301930	0.715
874	P06	146.090		5.02	1	 1.48848	 2.27827	 2.46519	 0.426614	 13.1	-0.488354	 0.301434	0.735
875	P06	147.090		4.60	1	 1.51348	 2.27844	 2.44434	 0.431701	 12.1	-0.465432	 0.299535	0.758
876	P06	148.090		4.20	1	 1.53920	 2.27785	 2.42423	 0.436502	 11.1	-0.442518	 0.296137	0.784
877	P06	148.353	P11M48-159	4.10	1	 1.54606	 2.27757	 2.41909	 0.437716	 10.9	-0.436511	 0.294994	0.791
878	P06	149.353		3.88	1	 1.59003	 2.25332	 2.42735	 0.440490	 10.3	-0.418662	 0.244636	0.768
879	P06	150.353		3.69	1	 1.63244	 2.22899	 2.43719	 0.442858	  9.8	-0.402373	 0.194173	0.749
880	P06	151.353		3.53	1	 1.67289	 2.20492	 2.44821	 0.444840	  9.4	-0.387658	 0.144369	0.732
881	P06	152.353		3.40	1	 1.71106	 2.18150	 2.45991	 0.446470	  9.1	-0.374428	 0.0960100	0.720
882	P06	153.353		3.29	1	 1.74671	 2.15911	 2.47172	 0.447795	  8.8	-0.362502	 0.0498959	0.710
883	P06	154.353		3.21	1	 1.77972	 2.13816	 2.48296	 0.448878	  8.6	-0.351622	 0.00681313	0.704
884	P06	155.353		3.14	1	 1.81002	 2.11900	 2.49298	 0.449784	  8.4	-0.341477	-0.0325033	0.702
885	P06	156.353		3.07	1	 1.83765	 2.10196	 2.50112	 0.450585	  8.3	-0.331735	-0.0674221	0.703
886	P06	157.353		3.01	1	 1.86270	 2.08731	 2.50685	 0.451349	  8.1	-0.322073	-0.0974700	0.707
887	P06	158.353		2.95	1	 1.88534	 2.07517	 2.50976	 0.452133	  7.9	-0.312208	-0.122376	0.714
888	P06	159.353		2.88	1	 1.90578	 2.06561	 2.50964	 0.452985	  7.8	-0.301928	-0.142097	0.726
889	P06	160.353		2.81	1	 1.92425	 2.05854	 2.50645	 0.453934	  7.6	-0.291103	-0.156814	0.740
890	P06	161.353		2.73	1	 1.94100	 2.05378	 2.50038	 0.454994	  7.4	-0.279690	-0.166905	0.758
891	P06	162.353		2.63	1	 1.95626	 2.05110	 2.49172	 0.456165	  7.1	-0.267728	-0.172893	0.779
892	P06	163.353		2.53	1	 1.97025	 2.05017	 2.48088	 0.457434	  6.9	-0.255315	-0.175388	0.804
893	P06	164.353		2.43	1	 1.98314	 2.05070	 2.46833	 0.458780	  6.6	-0.242593	-0.175028	0.832
894	P06	165.353		2.32	1	 1.99508	 2.05238	 2.45453	 0.460179	  6.3	-0.229721	-0.172428	0.864
895	P06	166.353		2.21	1	 2.00619	 2.05491	 2.43992	 0.461605	  6.0	-0.216864	-0.168150	0.900
896	P06	167.353		2.10	1	 2.01655	 2.05805	 2.42489	 0.463033	  5.7	-0.204171	-0.162678	0.939
897	P06	167.988	HpmsE088-6b	2.03	1	 2.02277	 2.06026	 2.41529	 0.463932	  5.5	-0.196258	-0.158769	0.966
898	P06	168.988		1.90	1	 2.02789	 2.05679	 2.41117	 0.465627	  5.2	-0.191643	-0.162737	0.929
899	P06	169.988		1.76	1	 2.03340	 2.05447	 2.40489	 0.467473	  4.8	-0.185745	-0.164671	0.897
900	P06	170.988		1.61	1	 2.03921	 2.05349	 2.39636	 0.469443	  4.4	-0.178573	-0.164297	0.871
901	P06	171.988		1.46	1	 2.04524	 2.05398	 2.38563	 0.471505	  4.0	-0.170194	-0.161451	0.851
902	P06	172.988		1.30	1	 2.05140	 2.05602	 2.37286	 0.473615	  3.6	-0.160730	-0.156106	0.837
903	P06	173.988		1.14	1	 2.05762	 2.05958	 2.35833	 0.475727	  3.1	-0.150352	-0.148398	0.828
904	P06	174.988		0.98	1	 2.06387	 2.06452	 2.34241	 0.477794	  2.7	-0.139270	-0.138620	0.825
905	P06	175.988		0.84	1	 2.07012	 2.07063	 2.32555	 0.479770	  2.3	-0.127716	-0.127202	0.827
906	P06	176.988		0.70	1	 2.07638	 2.07764	 2.30822	 0.481617	  1.9	-0.115921	-0.114666	0.836
907	P06	177.988		0.58	1	 2.08268	 2.08521	 2.29089	 0.483306	  1.6	-0.104105	-0.101571	0.850
908	P06	178.988		0.46	1	 2.08904	 2.09304	 2.27395	 0.484816	  1.3	-0.0924569	-0.0884580	0.869
909	P06	179.988		0.37	1	 2.09549	 2.10083	 2.25776	 0.486140	  1.0	-0.0811341	-0.0757959	0.895
910	P06	180.988		0.28	1	 2.10203	 2.10833	 2.24254	 0.487277	  0.8	-0.0702569	-0.0639539	0.926
911	P06	180.991	HpmsE014_Q1	0.28	1	 2.10205	 2.10835	 2.24250	 0.487281	  0.8	-0.0702250	-0.0639199	0.926
912	P06	181.991		0.27	1	 2.09579	 2.11209	 2.24107	 0.487472	  0.8	-0.0726368	-0.0563426	0.893
913	P06	182.991		0.26	1	 2.08886	 2.11667	 2.23887	 0.487643	  0.7	-0.0750043	-0.0471978	0.864
914	P06	183.991		0.25	1	 2.08136	 2.12201	 2.23593	 0.487786	  0.7	-0.0772830	-0.0366348	0.840
